                               Labor Force Data by County, 2020 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate
CN0111900000000   01     119   Sumter County, AL                                 2020         4,780        4,410        370      7.7
CN0112100000000   01     121   Talladega County, AL                              2020        36,433       33,605      2,828      7.8
CN0112300000000   01     123   Tallapoosa County, AL                             2020        18,204       16,822      1,382      7.6
CN0112500000000   01     125   Tuscaloosa County, AL                             2020       103,776       96,225      7,551      7.3
CN0112700000000   01     127   Walker County, AL                                 2020        25,210       23,583      1,627      6.5
CN0112900000000   01     129   Washington County, AL                             2020         6,823        6,219        604      8.9
CN0113100000000   01     131   Wilcox County, AL                                 2020         2,921        2,449        472     16.2
CN0113300000000   01     133   Winston County, AL                                2020        10,271        9,734        537      5.2
CN0201300000000   02     013   Aleutians East Borough, AK                        2020         2,515        2,411        104      4.1
CN0201600000000   02     016   Aleutians West Census Area, AK                    2020         3,835        3,655        180      4.7
CN0202000000000   02     020   Anchorage Borough/municipality, AK                2020       147,223      135,682     11,541      7.8
CN0205000000000   02     050   Bethel Census Area, AK                            2020         6,987        6,136        851     12.2
CN0206000000000   02     060   Bristol Bay Borough, AK                           2020           393          362         31      7.9
CN0206300000000   02     063   Chugach Census Area, AK                           2020         3,251        2,972        279      8.6
CN0206600000000   02     066   Copper River Census Area, AK                      2020         1,290        1,153        137     10.6
CN0206800000000   02     068   Denali Borough, AK                                2020           645          534        111     17.2
CN0207000000000   02     070   Dillingham Census Area, AK                        2020         1,721        1,570        151      8.8
CN0209000000000   02     090   Fairbanks North Star Borough, AK                  2020        44,597       41,628      2,969      6.7
CN0210000000000   02     100   Haines Borough, AK                                2020         1,021          854        167     16.4
CN0210500000000   02     105   Hoonah-Angoon Census Area, AK                     2020         1,055          908        147     13.9
CN0211000000000   02     110   Juneau Borough/city, AK                           2020        16,306       15,168      1,138      7.0
CN0212200000000   02     122   Kenai Peninsula Borough, AK                       2020        26,625       24,098      2,527      9.5
CN0213000000000   02     130   Ketchikan Gateway Borough, AK                     2020         6,481        5,823        658     10.2
CN0215000000000   02     150   Kodiak Island Borough, AK                         2020         6,068        5,666        402      6.6
CN0215800000000   02     158   Kusilvak Census Area, AK                          2020         2,288        1,817        471     20.6
CN0216400000000   02     164   Lake and Peninsula Borough, AK                    2020           613          543         70     11.4
CN0217000000000   02     170   Matanuska-Susitna Borough, AK                     2020        48,388       44,183      4,205      8.7
CN0218000000000   02     180   Nome Census Area, AK                              2020         3,939        3,508        431     10.9
CN0218500000000   02     185   North Slope Borough, AK                           2020         3,164        2,971        193      6.1
CN0218800000000   02     188   Northwest Arctic Borough, AK                      2020         2,941        2,570        371     12.6
CN0219500000000   02     195   Petersburg Borough, AK                            2020         1,430        1,301        129      9.0
CN0219800000000   02     198   Prince of Wales-Hyder Census Area, AK             2020         2,833        2,558        275      9.7
CN0222000000000   02     220   Sitka Borough/city, AK                            2020         4,121        3,822        299      7.3
CN0223000000000   02     230   Skagway Municipality, AK                          2020           641          503        138     21.5
CN0224000000000   02     240   Southeast Fairbanks Census Area, AK               2020         2,945        2,719        226      7.7
CN0227500000000   02     275   Wrangell Borough/city, AK                         2020           955          867         88      9.2
CN0228200000000   02     282   Yakutat Borough/city, AK                          2020           279          255         24      8.6
CN0229000000000   02     290   Yukon-Koyukuk Census Area, AK                     2020         2,334        2,041        293     12.6
CN0400100000000   04     001   Apache County, AZ                                 2020        19,502       17,058      2,444     12.5
CN0400300000000   04     003   Cochise County, AZ                                2020        50,090       46,659      3,431      6.8
CN0400500000000   04     005   Coconino County, AZ                               2020        72,016       65,193      6,823      9.5
CN0400700000000   04     007   Gila County, AZ                                   2020        20,355       18,830      1,525      7.5
CN0400900000000   04     009   Graham County, AZ                                 2020        15,412       14,464        948      6.2
CN0401100000000   04     011   Greenlee County, AZ                               2020         4,307        4,082        225      5.2
CN0401200000000   04     012   La Paz County, AZ                                 2020         8,726        8,117        609      7.0
CN0401300000000   04     013   Maricopa County, AZ                               2020     2,256,967    2,094,758    162,209      7.2
CN0401500000000   04     015   Mohave County, AZ                                 2020        85,930       77,556      8,374      9.7
CN0401700000000   04     017   Navajo County, AZ                                 2020        39,186       35,304      3,882      9.9
CN0401900000000   04     019   Pima County, AZ                                   2020       479,345      443,416     35,929      7.5
CN0402100000000   04     021   Pinal County, AZ                                  2020       187,999      174,319     13,680      7.3
CN0402300000000   04     023   Santa Cruz County, AZ                             2020        18,775       16,677      2,098     11.2
CN0402500000000   04     025   Yavapai County, AZ                                2020       103,471       95,949      7,522      7.3
CN0402700000000   04     027   Yuma County, AZ                                   2020        94,768       78,717     16,051     16.9
CN0500100000000   05     001   Arkansas County, AR                               2020         9,436        9,058        378      4.0
CN0500300000000   05     003   Ashley County, AR                                 2020         7,178        6,506        672      9.4
CN0500500000000   05     005   Baxter County, AR                                 2020        16,576       15,584        992      6.0
CN0500700000000   05     007   Benton County, AR                                 2020       141,515      135,182      6,333      4.5
CN0500900000000   05     009   Boone County, AR                                  2020        15,857       15,019        838      5.3
CN0501100000000   05     011   Bradley County, AR                                2020         4,368        4,110        258      5.9
CN0501300000000   05     013   Calhoun County, AR                                2020         2,416        2,289        127      5.3
CN0501500000000   05     015   Carroll County, AR                                2020        12,735       12,013        722      5.7
CN0501700000000   05     017   Chicot County, AR                                 2020         3,213        2,876        337     10.5
CN0501900000000   05     019   Clark County, AR                                  2020         9,263        8,711        552      6.0
CN0502100000000   05     021   Clay County, AR                                   2020         5,546        5,209        337      6.1
CN0502300000000   05     023   Cleburne County, AR                               2020         9,190        8,489        701      7.6
CN0502500000000   05     025   Cleveland County, AR                              2020         3,252        3,055        197      6.1
CN0502700000000   05     027   Columbia County, AR                               2020         9,058        8,437        621      6.9
CN0502900000000   05     029   Conway County, AR                                 2020         8,413        7,903        510      6.1
CN0503100000000   05     031   Craighead County, AR                              2020        56,309       53,304      3,005      5.3
CN0503300000000   05     033   Crawford County, AR                               2020        26,510       25,062      1,448      5.5
CN0503500000000   05     035   Crittenden County, AR                             2020        21,102       19,339      1,763      8.4
CN0503700000000   05     037   Cross County, AR                                  2020         7,264        6,820        444      6.1
CN0503900000000   05     039   Dallas County, AR                                 2020         2,821        2,669        152      5.4
CN0504100000000   05     041   Desha County, AR                                  2020         5,289        4,916        373      7.1
CN0504300000000   05     043   Drew County, AR                                   2020         7,716        7,180        536      6.9
CN0504500000000   05     045   Faulkner County, AR                               2020        62,006       58,616      3,390      5.5
CN0504700000000   05     047   Franklin County, AR                               2020         7,481        7,058        423      5.7
CN0504900000000   05     049   Fulton County, AR                                 2020         4,929        4,675        254      5.2
CN0505100000000   05     051   Garland County, AR                                2020        41,320       38,009      3,311      8.0
CN0505300000000   05     053   Grant County, AR                                  2020         8,289        7,858        431      5.2
CN0505500000000   05     055   Greene County, AR                                 2020        19,601       18,430      1,171      6.0
CN0505700000000   05     057   Hempstead County, AR                              2020         9,628        9,125        503      5.2
CN0505900000000   05     059   Hot Spring County, AR                             2020        14,075       13,256        819      5.8
CN0506100000000   05     061   Howard County, AR                                 2020         5,553        5,273        280      5.0
CN0506300000000   05     063   Independence County, AR                           2020        16,737       15,770        967      5.8
CN0506500000000   05     065   Izard County, AR                                  2020         4,655        4,261        394      8.5
CN0506700000000   05     067   Jackson County, AR                                2020         5,852        5,428        424      7.2
CN0506900000000   05     069   Jefferson County, AR                              2020        27,287       25,079      2,208      8.1
CN0507100000000   05     071   Johnson County, AR                                2020        10,140        9,498        642      6.3
CN0507300000000   05     073   Lafayette County, AR                              2020         2,419        2,233        186      7.7
CN0507500000000   05     075   Lawrence County, AR                               2020         6,797        6,377        420      6.2
CN0507700000000   05     077   Lee County, AR                                    2020         2,747        2,536        211      7.7
CN0507900000000   05     079   Lincoln County, AR                                2020         3,868        3,637        231      6.0
CN0508100000000   05     081   Little River County, AR                           2020         5,353        5,003        350      6.5
CN0508300000000   05     083   Logan County, AR                                  2020         8,664        8,085        579      6.7
CN0508500000000   05     085   Lonoke County, AR                                 2020        33,761       31,886      1,875      5.6
CN0508700000000   05     087   Madison County, AR                                2020         7,292        7,001        291      4.0
CN0508900000000   05     089   Marion County, AR                                 2020         6,265        5,860        405      6.5
CN0509100000000   05     091   Miller County, AR                                 2020        19,343       18,003      1,340      6.9
CN0509300000000   05     093   Mississippi County, AR                            2020        17,269       15,704      1,565      9.1
CN0509500000000   05     095   Monroe County, AR                                 2020         2,722        2,541        181      6.6
CN0509700000000   05     097   Montgomery County, AR                             2020         2,958        2,752        206      7.0
CN0509900000000   05     099   Nevada County, AR                                 2020         3,545        3,336        209      5.9
CN0510100000000   05     101   Newton County, AR                                 2020         3,186        3,023        163      5.1
CN0510300000000   05     103   Ouachita County, AR                               2020         9,840        9,243        597      6.1
CN0510500000000   05     105   Perry County, AR                                  2020         4,132        3,899        233      5.6
CN0510700000000   05     107   Phillips County, AR                               2020         6,303        5,723        580      9.2
CN0510900000000   05     109   Pike County, AR                                   2020         4,270        4,016        254      5.9
CN0511100000000   05     111   Poinsett County, AR                               2020         9,753        9,206        547      5.6
CN0511300000000   05     113   Polk County, AR                                   2020         8,005        7,468        537      6.7
CN0511500000000   05     115   Pope County, AR                                   2020        27,870       26,218      1,652      5.9
CN0511700000000   05     117   Prairie County, AR                                2020         3,611        3,417        194      5.4
CN0511900000000   05     119   Pulaski County, AR                                2020       189,050      174,991     14,059      7.4
CN0512100000000   05     121   Randolph County, AR                               2020         7,449        7,006        443      5.9
CN0512300000000   05     123   St. Francis County, AR                            2020         8,022        7,388        634      7.9
CN0512500000000   05     125   Saline County, AR                                 2020        58,783       55,813      2,970      5.1
CN0512700000000   05     127   Scott County, AR                                  2020         4,345        4,150        195      4.5
CN0512900000000   05     129   Searcy County, AR                                 2020         2,878        2,692        186      6.5
CN0513100000000   05     131   Sebastian County, AR                              2020        56,085       52,716      3,369      6.0
CN0513300000000   05     133   Sevier County, AR                                 2020         5,543        5,218        325      5.9
CN0513500000000   05     135   Sharp County, AR                                  2020         5,717        5,306        411      7.2
CN0513700000000   05     137   Stone County, AR                                  2020         4,624        4,295        329      7.1
CN0513900000000   05     139   Union County, AR                                  2020        15,615       14,310      1,305      8.4
CN0514100000000   05     141   Van Buren County, AR                              2020         5,767        5,354        413      7.2
CN0514300000000   05     143   Washington County, AR                             2020       125,379      119,532      5,847      4.7
CN0514500000000   05     145   White County, AR                                  2020        34,020       31,880      2,140      6.3
CN0514700000000   05     147   Woodruff County, AR                               2020         2,826        2,661        165      5.8
CN0514900000000   05     149   Yell County, AR                                   2020         7,933        7,526        407      5.1
CN0600100000000   06     001   Alameda County, CA                                2020       816,829      743,193     73,636      9.0
CN0600300000000   06     003   Alpine County, CA                                 2020           513          453         60     11.7
CN0600500000000   06     005   Amador County, CA                                 2020        14,451       13,084      1,367      9.5
CN0600700000000   06     007   Butte County, CA                                  2020        93,080       84,291      8,789      9.4
CN0600900000000   06     009   Calaveras County, CA                              2020        21,315       19,637      1,678      7.9
CN0601100000000   06     011   Colusa County, CA                                 2020        10,607        8,853      1,754     16.5
CN0601300000000   06     013   Contra Costa County, CA                           2020       545,458      495,891     49,567      9.1
CN0601500000000   06     015   Del Norte County, CA                              2020         9,414        8,497        917      9.7
CN0601700000000   06     017   El Dorado County, CA                              2020        90,730       82,984      7,746      8.5
CN0601900000000   06     019   Fresno County, CA                                 2020       444,993      392,711     52,282     11.7
CN0602100000000   06     021   Glenn County, CA                                  2020        12,737       11,581      1,156      9.1
CN0602300000000   06     023   Humboldt County, CA                               2020        59,653       54,515      5,138      8.6
CN0602500000000   06     025   Imperial County, CA                               2020        71,528       55,218     16,310     22.8
CN0602700000000   06     027   Inyo County, CA                                   2020         8,305        7,637        668      8.0
CN0602900000000   06     029   Kern County, CA                                   2020       385,860      335,929     49,931     12.9
CN0603100000000   06     031   Kings County, CA                                  2020        56,921       50,118      6,803     12.0
CN0603300000000   06     033   Lake County, CA                                   2020        28,411       25,614      2,797      9.8
CN0603500000000   06     035   Lassen County, CA                                 2020         9,393        8,694        699      7.4
CN0603700000000   06     037   Los Angeles County, CA                            2020     4,968,912    4,355,926    612,986     12.3
CN0603900000000   06     039   Madera County, CA                                 2020        61,852       54,920      6,932     11.2
CN0604100000000   06     041   Marin County, CA                                  2020       130,414      121,476      8,938      6.9
CN0604300000000   06     043   Mariposa County, CA                               2020         7,191        6,385        806     11.2
CN0604500000000   06     045   Mendocino County, CA                              2020        37,099       33,698      3,401      9.2
CN0604700000000   06     047   Merced County, CA                                 2020       115,332      100,761     14,571     12.6
CN0604900000000   06     049   Modoc County, CA                                  2020         3,174        2,893        281      8.9
CN0605100000000   06     051   Mono County, CA                                   2020         7,875        6,917        958     12.2
CN0605300000000   06     053   Monterey County, CA                               2020       213,837      189,830     24,007     11.2
CN0605500000000   06     055   Napa County, CA                                   2020        68,777       62,575      6,202      9.0
CN0605700000000   06     057   Nevada County, CA                                 2020        46,697       42,871      3,826      8.2
CN0605900000000   06     059   Orange County, CA                                 2020     1,561,462    1,420,678    140,784      9.0
CN0606100000000   06     061   Placer County, CA                                 2020       186,664      172,621     14,043      7.5
CN0606300000000   06     063   Plumas County, CA                                 2020         7,615        6,768        847     11.1
CN0606500000000   06     065   Riverside County, CA                              2020     1,117,258    1,003,553    113,705     10.2
CN0606700000000   06     067   Sacramento County, CA                             2020       709,713      641,956     67,757      9.5
CN0606900000000   06     069   San Benito County, CA                             2020        32,493       29,251      3,242     10.0
CN0607100000000   06     071   San Bernardino County, CA                         2020       971,384      876,969     94,415      9.7
CN0607300000000   06     073   San Diego County, CA                              2020     1,541,979    1,395,730    146,249      9.5
CN0607500000000   06     075   San Francisco County/city, CA                     2020       558,105      513,363     44,742      8.0
CN0607700000000   06     077   San Joaquin County, CA                            2020       334,292      295,559     38,733     11.6
CN0607900000000   06     079   San Luis Obispo County, CA                        2020       133,921      123,379     10,542      7.9
CN0608100000000   06     081   San Mateo County, CA                              2020       437,835      407,241     30,594      7.0
CN0608300000000   06     083   Santa Barbara County, CA                          2020       218,122      200,213     17,909      8.2
CN0608500000000   06     085   Santa Clara County, CA                            2020     1,021,799      948,273     73,526      7.2
CN0608700000000   06     087   Santa Cruz County, CA                             2020       134,611      121,436     13,175      9.8
CN0608900000000   06     089   Shasta County, CA                                 2020        73,129       66,563      6,566      9.0
CN0609100000000   06     091   Sierra County, CA                                 2020         1,283        1,176        107      8.3
CN0609300000000   06     093   Siskiyou County, CA                               2020        16,938       15,228      1,710     10.1
CN0609500000000   06     095   Solano County, CA                                 2020       201,518      181,675     19,843      9.8
CN0609700000000   06     097   Sonoma County, CA                                 2020       245,312      225,417     19,895      8.1
CN0609900000000   06     099   Stanislaus County, CA                             2020       241,656      214,903     26,753     11.1
CN0610100000000   06     101   Sutter County, CA                                 2020        45,440       40,238      5,202     11.4
CN0610300000000   06     103   Tehama County, CA                                 2020        25,630       23,282      2,348      9.2
CN0610500000000   06     105   Trinity County, CA                                2020         4,532        4,157        375      8.3
CN0610700000000   06     107   Tulare County, CA                                 2020       202,207      174,781     27,426     13.6
CN0610900000000   06     109   Tuolumne County, CA                               2020        20,153       17,998      2,155     10.7
CN0611100000000   06     111   Ventura County, CA                                2020       409,408      373,303     36,105      8.8
CN0611300000000   06     113   Yolo County, CA                                   2020       104,638       96,435      8,203      7.8
CN0611500000000   06     115   Yuba County, CA                                   2020        30,665       27,370      3,295     10.7
CN0800100000000   08     001   Adams County, CO                                  2020       270,349      249,734     20,615      7.6
CN0800300000000   08     003   Alamosa County, CO                                2020         8,312        7,809        503      6.1
CN0800500000000   08     005   Arapahoe County, CO                               2020       359,977      333,136     26,841      7.5
CN0800700000000   08     007   Archuleta County, CO                              2020         7,042        6,537        505      7.2
CN0800900000000   08     009   Baca County, CO                                   2020         2,083        2,036         47      2.3
CN0801100000000   08     011   Bent County, CO                                   2020         1,773        1,700         73      4.1
CN0801300000000   08     013   Boulder County, CO                                2020       190,742      179,615     11,127      5.8
CN0801400000000   08     014   Broomfield County/city, CO                        2020        40,409       37,908      2,501      6.2
CN0801500000000   08     015   Chaffee County, CO                                2020         9,642        9,062        580      6.0
CN0801700000000   08     017   Cheyenne County, CO                               2020         1,083        1,058         25      2.3
CN0801900000000   08     019   Clear Creek County, CO                            2020         5,964        5,475        489      8.2
CN0802100000000   08     021   Conejos County, CO                                2020         4,006        3,790        216      5.4
CN0802300000000   08     023   Costilla County, CO                               2020         1,812        1,687        125      6.9
CN0802500000000   08     025   Crowley County, CO                                2020         1,440        1,364         76      5.3
CN0802700000000   08     027   Custer County, CO                                 2020         2,085        1,986         99      4.7
CN0802900000000   08     029   Delta County, CO                                  2020        14,159       13,273        886      6.3
CN0803100000000   08     031   Denver County/city, CO                            2020       419,844      387,275     32,569      7.8
CN0803300000000   08     033   Dolores County, CO                                2020         1,135        1,061         74      6.5
CN0803500000000   08     035   Douglas County, CO                                2020       196,099      185,505     10,594      5.4
CN0803700000000   08     037   Eagle County, CO                                  2020        35,383       32,204      3,179      9.0
CN0803900000000   08     039   Elbert County, CO                                 2020        15,000       14,339        661      4.4
CN0804100000000   08     041   El Paso County, CO                                2020       341,997      318,462     23,535      6.9
CN0804300000000   08     043   Fremont County, CO                                2020        15,223       14,104      1,119      7.4
CN0804500000000   08     045   Garfield County, CO                               2020        31,405       29,376      2,029      6.5
CN0804700000000   08     047   Gilpin County, CO                                 2020         3,930        3,501        429     10.9
CN0804900000000   08     049   Grand County, CO                                  2020         9,245        8,505        740      8.0
CN0805100000000   08     051   Gunnison County, CO                               2020        11,296       10,587        709      6.3
CN0805300000000   08     053   Hinsdale County, CO                               2020           423          406         17      4.0
CN0805500000000   08     055   Huerfano County, CO                               2020         2,597        2,362        235      9.0
CN0805700000000   08     057   Jackson County, CO                                2020           935          898         37      4.0
CN0805900000000   08     059   Jefferson County, CO                              2020       327,550      305,440     22,110      6.8
CN0806100000000   08     061   Kiowa County, CO                                  2020           953          931         22      2.3
CN0806300000000   08     063   Kit Carson County, CO                             2020         4,211        4,098        113      2.7
CN0806500000000   08     065   Lake County, CO                                   2020         4,803        4,434        369      7.7
CN0806700000000   08     067   La Plata County, CO                               2020        30,924       28,897      2,027      6.6
CN0806900000000   08     069   Larimer County, CO                                2020       201,273      189,216     12,057      6.0
CN0807100000000   08     071   Las Animas County, CO                             2020         6,398        5,947        451      7.0
CN0807300000000   08     073   Lincoln County, CO                                2020         2,340        2,241         99      4.2
CN0807500000000   08     075   Logan County, CO                                  2020        10,867       10,385        482      4.4
CN0807700000000   08     077   Mesa County, CO                                   2020        74,725       69,424      5,301      7.1
CN0807900000000   08     079   Mineral County, CO                                2020           464          438         26      5.6
CN0808100000000   08     081   Moffat County, CO                                 2020         7,162        6,749        413      5.8
CN0808300000000   08     083   Montezuma County, CO                              2020        12,626       11,760        866      6.9
CN0808500000000   08     085   Montrose County, CO                               2020        21,491       20,134      1,357      6.3
CN0808700000000   08     087   Morgan County, CO                                 2020        15,899       15,089        810      5.1
CN0808900000000   08     089   Otero County, CO                                  2020         8,179        7,701        478      5.8
CN0809100000000   08     091   Ouray County, CO                                  2020         2,481        2,291        190      7.7
CN0809300000000   08     093   Park County, CO                                   2020        10,969       10,370        599      5.5
CN0809500000000   08     095   Phillips County, CO                               2020         2,459        2,396         63      2.6
CN0809700000000   08     097   Pitkin County, CO                                 2020        11,122       10,017      1,105      9.9
CN0809900000000   08     099   Prowers County, CO                                2020         6,114        5,856        258      4.2
CN0810100000000   08     101   Pueblo County, CO                                 2020        76,155       70,230      5,925      7.8
CN0810300000000   08     103   Rio Blanco County, CO                             2020         2,905        2,754        151      5.2
CN0810500000000   08     105   Rio Grande County, CO                             2020         5,360        4,993        367      6.8
CN0810700000000   08     107   Routt County, CO                                  2020        15,923       14,729      1,194      7.5
CN0810900000000   08     109   Saguache County, CO                               2020         3,405        3,176        229      6.7
CN0811100000000   08     111   San Juan County, CO                               2020           519          486         33      6.4
CN0811300000000   08     113   San Miguel County, CO                             2020         5,425        4,865        560     10.3
CN0811500000000   08     115   Sedgwick County, CO                               2020         1,154        1,115         39      3.4
CN0811700000000   08     117   Summit County, CO                                 2020        21,962       19,912      2,050      9.3
CN0811900000000   08     119   Teller County, CO                                 2020        12,836       11,924        912      7.1
CN0812100000000   08     121   Washington County, CO                             2020         2,844        2,759         85      3.0
CN0812300000000   08     123   Weld County, CO                                   2020       164,840      153,943     10,897      6.6
CN0812500000000   08     125   Yuma County, CO                                   2020         5,552        5,404        148      2.7
CN0900100000000   09     001   Fairfield County, CT                              2020       473,208      436,155     37,053      7.8
CN0900300000000   09     003   Hartford County, CT                               2020       482,601      443,952     38,649      8.0
CN0900500000000   09     005   Litchfield County, CT                             2020       103,484       96,504      6,980      6.7
CN0900700000000   09     007   Middlesex County, CT                              2020        93,209       87,216      5,993      6.4
CN0900900000000   09     009   New Haven County, CT                              2020       462,508      426,061     36,447      7.9
CN0901100000000   09     011   New London County, CT                             2020       133,743      121,093     12,650      9.5
CN0901300000000   09     013   Tolland County, CT                                2020        85,905       80,682      5,223      6.1
CN0901500000000   09     015   Windham County, CT                                2020        63,124       58,291      4,833      7.7
CN1000100000000   10     001   Kent County, DE                                   2020        79,826       73,170      6,656      8.3
CN1000300000000   10     003   New Castle County, DE                             2020       298,781      276,479     22,302      7.5
CN1000500000000   10     005   Sussex County, DE                                 2020       107,206       99,465      7,741      7.2
CN1100100000000   11     001   District of Columbia                              2020       389,384      358,370     31,014      8.0
CN1200100000000   12     001   Alachua County, FL                                2020       134,486      126,648      7,838      5.8
CN1200300000000   12     003   Baker County, FL                                  2020        11,655       11,020        635      5.4
CN1200500000000   12     005   Bay County, FL                                    2020        82,680       77,353      5,327      6.4
CN1200700000000   12     007   Bradford County, FL                               2020        10,713       10,018        695      6.5
CN1200900000000   12     009   Brevard County, FL                                2020       281,504      261,302     20,202      7.2
CN1201100000000   12     011   Broward County, FL                                2020     1,021,021      923,137     97,884      9.6
CN1201300000000   12     013   Calhoun County, FL                                2020         4,744        4,479        265      5.6
CN1201500000000   12     015   Charlotte County, FL                              2020        71,385       65,764      5,621      7.9
CN1201700000000   12     017   Citrus County, FL                                 2020        46,588       42,350      4,238      9.1
CN1201900000000   12     019   Clay County, FL                                   2020       104,580       98,510      6,070      5.8
CN1202100000000   12     021   Collier County, FL                                2020       176,321      163,139     13,182      7.5
CN1202300000000   12     023   Columbia County, FL                               2020        29,435       27,537      1,898      6.4
CN1202700000000   12     027   DeSoto County, FL                                 2020        14,350       13,549        801      5.6
CN1202900000000   12     029   Dixie County, FL                                  2020         5,845        5,495        350      6.0
